"","partial.name","regex","full.name"
"4208","EMMAUS","emmaus",""
"4209","Kom Op Tegen Kanker","kom op tegen kanker",""
"4210","VDAB","vdab",""
"4211","European Construction Industry Federation (FIEC)","european construction industry federation fiec",""
"4212","WSM (We Social Movements)","wsm we social movements",""
"4213","KULeuven","kuleuven",""
"4214","Dt. Bibliothekenverband","dt bibliothekenverband",""
"4215","ZOL","zol",""
"4216","Beweging.net","beweging net",""
"4217","HIVA/KUL","hiva kul",""
"4218","Netwerk tegen armoede","netwerk tegen armoede",""
"4219","ACV","acv",""
"4220","Dt. Welle","dt welle",""
"4221","Red Cross EU","red cross eu",""
"4222","EZA","eza",""
"4223","ESF Vlaanderen","esf vlaanderen",""
"4224","Start-ups","start ups",""
"4225","Antikankerfonds","antikankerfonds",""
"4226"," Beweging.net","beweging net",""
"4227","COFACE","coface",""
"4228","Verso","verso",""
"4229","Caritas Europa","caritas europa",""
"4230"," ABVV","abvv",""
"4231"," ACLVB","aclvb",""
"4232","ACV Regio Tienen/Hageland","acv regio tienen hageland",""
"4233","DT./FR. Jugendwerk","dt fr jugendwerk",""
"4234","Eurofedop","eurofedop",""
"4235","Incofin","incofin",""
"4236","Boerenbond","boerenbond",""
"4237","ENIL","enil",""
"4238","Associatie KULeuven","associatie kuleuven",""
"4239","ACV BIE","acv bie",""
"4240","Odisee","odisee",""
"4241","ESOP","esop",""
"4242","Unisoc","unisoc",""
"4243","European Society for Paediatric Oncology","european society for paediatric oncology",""
"4244"," Childhood Cancer International – Europe","childhood cancer international europe",""
"4245","Broederlijk Delen","broederlijk delen",""
"4246","ACV Openbare Diensten","acv openbare diensten",""
"4247","DuckDuckGo","duckduckgo",""
"4248","Groep Maatwerk","groep maatwerk",""
"4249","KULEUVEN/HIVA","kuleuven hiva",""
"4250","Comece","comece",""
"4251","Ademruimte","ademruimte",""
"4252","Euregio Scheldemond","euregio scheldemond",""
"4253"," North Sea Port","north sea port",""
"4254","Zeemanshuis","zeemanshuis",""
"4255","Watt Factory","watt factory",""
"4256","Endocrine Society","endocrine society",""
"4257","Nationaal Intermutualistisch College","nationaal intermutualistisch college",""
"4258"," EDC Free Europe","edc free europe",""
"4259"," BEUC","beuc",""
"4260","ILO","ilo",""
"4261","Belgische Federatie van Voedselbanken","belgische federatie van voedselbanken",""
"4262"," ATD","atd",""
"4263"," International Federation of Social Workers","international federation of social workers",""
"4264"," Emmaus Europe","emmaus europe",""
"4265","Hong Kong Trade Union Confederation","hong kong trade union confederation",""
"4266","ATD Vierde Wereld","atd vierde wereld",""
"4267","Christelijke Mutualiteiten","christelijke mutualiteiten",""
"4268"," ABVV","abvv",""
"4269"," ACLVB","aclvb",""
"4270","Vlaams Europees Verbindingsagentschap","vlaams europees verbindingsagentschap",""
"4271","European Huntington Association","european huntington association",""
"4272","Europese Commissie","europese commissie",""
"4273","Permanente Vertegenwoordiging","permanente vertegenwoordiging",""
"4274","ACV-CSC","acv csc",""
"4275","Unie van Zelfstandige Ondernemers","unie van zelfstandige ondernemers",""
"4276","ACV-Transcom","acv transcom",""
"4277"," European Transport Workers' Federation (ETF)","european transport workers federation etf",""
"4278","European Federation of National Organisations Working with the Homeless","european federation of national organisations working with the homeless",""
"4279","Ambassadeur Sierra Leone","ambassadeur sierra leone",""
"4280","Representative of the European Federation of Neurological Associations & the Interest Group on Brain","representative of the european federation of neurological associations the interest group on brain",""
"4281"," Mind & Pain","mind pain",""
"4282","Permanente Vertegenwoordiging Vlaanderen bij de EU","permanente vertegenwoordiging vlaanderen bij de eu",""
"4283","European Trade Union Confederation","european trade union confederation",""
"4284","European Anti-Poverty Network","european anti poverty network",""
"4285"," Belgian Anti-Poverty Network","belgian anti poverty network",""
"4286","Equinet - European Network of Equlity Bodies","equinet european network of equlity bodies",""
"4287","B’nai B’rith International","b nai b rith international",""
"4288"," Each One Teach One Berlin","each one teach one berlin",""
"4289"," Research and Information on Antisemitism (RIAS)","research and information on antisemitism rias",""
"4290"," European Roma Grassroots Organisations (ERGO)","european roma grassroots organisations ergo",""
"4291"," Collectif contre l’Islamophobie en Belgique","collectif contre l islamophobie en belgique",""
"4292","Save the Children Europe","save the children europe",""
"4293"," Save the Children Bosnia ad Herzegovina","save the children bosnia ad herzegovina",""
"4294","Romani Civil Society Organisation Akromfed","romani civil society organisation akromfed",""
"4295","ILGA-Europe board member and Executive Director of Sarajevo Open Center","ilga europe board member and executive director of sarajevo open center",""
"4296"," a Hungarian network of academics","a hungarian network of academics",""
"4297","IMELUM","imelum",""
"4298"," a Croatian economic research and consultancy organisation","a croatian economic research and consultancy organisation",""
"4299","Heinrich Böll foundation - Western Balkans strategy Group","heinrich böll foundation western balkans strategy group",""
"4300","Association for Democratic Initiatives","association for democratic initiatives",""
"4301"," Centre for Youth ""Kvart""","centre for youth kvart",""
"4302"," Transparancy International in BiH","transparancy international in bih",""
"4303","Carsten Berg from the European Citizen Initiative (ECI e.V.)","carsten berg from the european citizen initiative eci e v",""
"4304"," 299290727346-64","299290727346 64",""
"4305"," Dr. Anja Trebes","dr anja trebes",""
"4306"," Prof. Dr. Ulrike Liebert from the University of Bremen","prof dr ulrike liebert from the university of bremen",""
"4307"," 590539526545-23","590539526545 23",""
"4308","Peter von Bethlenfalvy from CEIPA","peter von bethlenfalvy from ceipa",""
"4309"," 079926927551-52","079926927551 52",""
"4310","Yatta Dakowah from UNODC","yatta dakowah from unodc",""
"4311"," Paquerette Girard Zappelli from IOC","paquerette girard zappelli from ioc",""
"4312"," Matteo Zacchetti","matteo zacchetti",""
"4313"," Paolo Bertaccini","paolo bertaccini",""
"4314"," Viola von Cramon-Taubadel","viola von cramon taubadel",""
"4315","Moritz Glenk from Europäische Akademie NRW","moritz glenk from europäische akademie nrw",""
"4316"," Ulrike Müller","ulrike müller",""
"4317"," Lena Düpont","lena düpont",""
"4318"," Moritz Körner","moritz körner",""
"4319","Joe Litobarski from Debating Europe","joe litobarski from debating europe",""
"4320","Jon Vrushi","jon vrushi",""
"4321"," Jacopo Leone","jacopo leone",""
"4322"," Ieva Duncikaite from Transparency International","ieva duncikaite from transparency international",""
"4323"," 501222919-71","501222919 71",""
"4324"," Ania Calderon from Global Integrity","ania calderon from global integrity",""
"4325","Birgit Van Hout from the Office of the United Nations High Commissioner for Human Rights","birgit van hout from the office of the united nations high commissioner for human rights",""
"4326"," Anaïs Franquesa","anaïs franquesa",""
"4327"," Marta Lempart","marta lempart",""
"4328"," Arie Alimi from LDH","arie alimi from ldh",""
"4329"," Niovi Ringou (Commission)","niovi ringou commission",""
"4330"," Anna Júlia Donáth (MEP)","anna júlia donáth mep",""
"4331"," Miguel Urban (MEP)","miguel urban mep",""
"4332","Brando Benifei","brando benifei",""
"4333"," Jeremy Bierbach from Franssen Advocaten","jeremy bierbach from franssen advocaten",""
"4334"," Jože Štrus","jože štrus",""
"4335"," Monika Frackowiak from MEDEL-Europe","monika frackowiak from medel europe",""
"4336"," 981119221130-18","981119221130 18",""
"4337","Nicholas Aiossa and Vitor Teixeira from Transparency International","nicholas aiossa and vitor teixeira from transparency international",""
"4338"," Maragarida Silva from Corporate European Observatory","maragarida silva from corporate european observatory",""
"4339"," 5353162366-85","5353162366 85",""
"4340","Beatriz Rios from Luxembourg Times","beatriz rios from luxembourg times",""
"4341"," Marie Lintzer","marie lintzer",""
"4342"," Susanna Ferro from Transparency International Italy","susanna ferro from transparency international italy",""
"4343","Adriana Bunea from the University of Bergen","adriana bunea from the university of bergen",""
"4344"," Cristina Gonzalez from Politico","cristina gonzalez from politico",""
"4345"," Vitor Teixeira from Transparency International EU","vitor teixeira from transparency international eu",""
"4346","Christophe Leclercq from Europe's Media Lab","christophe leclercq from europe s media lab",""
"4347"," 485832526193-89","485832526193 89",""
"4348","Norman Loeckel from Transparency International Germany","norman loeckel from transparency international germany",""
"4349"," Michaela Schröder from Verbraucherzentrale Bundesverband Deutschland","michaela schröder from verbraucherzentrale bundesverband deutschland",""
"4350"," 2893800753-48","2893800753 48",""
"4351"," Dr. Michael Efler from Bundestagsfraktion Die Linke","dr michael efler from bundestagsfraktion die linke",""
"4352","Nicholas Aiossa from Transparency International","nicholas aiossa from transparency international",""
"4353","Paul Wujek and Stefano Marmo from SEAP","paul wujek and stefano marmo from seap",""
"4354"," 360457536314-69","360457536314 69",""
"4355","Elena Vakali","elena vakali",""
"4356"," Uro Bogdanovic","uro bogdanovic",""
"4357"," Katrine Mariell Karlsen","katrine mariell karlsen",""
"4358"," from IDF Europe","from idf europe",""
"4359"," 80267287489-88","80267287489 88",""
"4360","Tim Krögel from the ZDH","tim krögel from the zdh",""
"4361"," 5189667783-94","5189667783 94",""
"4362"," Jeanine Burcherer","jeanine burcherer",""
"4363"," Garrelt Duin from Handwerkskammer Cologne","garrelt duin from handwerkskammer cologne",""
"4364","Carl Dolan from Open Society European Policy Institute","carl dolan from open society european policy institute",""
"4365"," 8557515321-37","8557515321 37",""
"4366","Helen Darbishire from Info Access Europe","helen darbishire from info access europe",""
"4367"," Federico Anghele and Elena from The Good Lobby","federico anghele and elena from the good lobby",""
"4368"," Vitor Teixeira from Transparency International","vitor teixeira from transparency international",""
"4369"," Margarida Silva from Corporate Europe Observatory","margarida silva from corporate europe observatory",""
"4370","Marie Lintzer from High Authority for Transparency in Public Life","marie lintzer from high authority for transparency in public life",""
"4371"," Raj Chari from Trinity College Dublin","raj chari from trinity college dublin",""
"4372"," Helen Turek from Open Government Partnership","helen turek from open government partnership",""
"4373"," 681306927105-61","681306927105 61",""
"4374"," Vitor Teixeira from Transparency International EU 501222919-71","vitor teixeira from transparency international eu 501222919 71",""
"4375"," Julio Terracino from OECD 773248535875-05","julio terracino from oecd 773248535875 05",""
"4376","Ruslan Stefanov from the Center for the Study of Democracy","ruslan stefanov from the center for the study of democracy",""
"4377","Annette Schavan from Europäische Stiftung Aachner Dom","annette schavan from europäische stiftung aachner dom",""
"4378"," Dr. Stephan Holthoff- Pförtner","dr stephan holthoff pförtner",""
"4379","Lukas Beckmann and Claudine Nierth and Ralf-Uwe Beck from Mehr Demokratie e.V.","lukas beckmann and claudine nierth and ralf uwe beck from mehr demokratie e v",""
"4380"," 964799628086-26","964799628086 26",""
"4381","Velislav Velichkov from The Justice for All Initiative","velislav velichkov from the justice for all initiative",""
"4382"," Bilyana Gyaurova from Bulgarian Institute for Legal Initiatives","bilyana gyaurova from bulgarian institute for legal initiatives",""
"4383"," Diliana Markova from Bulgarian Lawyers For Human Rights","diliana markova from bulgarian lawyers for human rights",""
"4384"," Stefan Angelov from Access to Information Initiative","stefan angelov from access to information initiative",""
"4385"," Nikolay Staykov from Anti-corruption Fund","nikolay staykov from anti corruption fund",""
"4386"," Lyubomir Avdjiiski from Justice Monitoring Center","lyubomir avdjiiski from justice monitoring center",""
"4387","Arne Fellermann from BUND e.V.","arne fellermann from bund e v",""
"4388","Roman Ebener from Abgeordnetenwatch","roman ebener from abgeordnetenwatch",""
"4389","DuckDuckGo.com","duckduckgo com",""
"4390","Dominik Hierlemann from Bertelsmann Stiftung","dominik hierlemann from bertelsmann stiftung",""
"4391"," Audrey Tang (Digital minister Taiwan)","audrey tang digital minister taiwan",""
"4392"," : Eva Maydell (MEP","eva maydell mep",""
"4393"," Bulgaria)","bulgaria",""
"4394"," Yves Mathieu (Missions Publiques","yves mathieu missions publiques",""
"4395"," Paris)","paris",""
"4396"," Anna Piperal (e-Estonia","anna piperal e estonia",""
"4397"," Tallinn)","tallinn",""
"4398"," and Prof. Graham Smith (University of Westminster","and prof graham smith university of westminster",""
"4399"," London)","london",""
"4400","Anna Mertens and Silvia Schwab from Transparency International Germany","anna mertens and silvia schwab from transparency international germany",""
"4401","Oliver Grün and Iris Wilhelmi from digitalHUB e. V.","oliver grün and iris wilhelmi from digitalhub e v",""
"4402","Karolis Granickas","karolis granickas",""
"4403"," Open Contracting Partnership","open contracting partnership",""
"4404"," 743117736368-80","743117736368 80",""
"4405","Discussion with Christina Deckwirth","discussion with christina deckwirth",""
"4406"," Kevin Kühnert","kevin kühnert",""
"4407"," Sven Giegold","sven giegold",""
"4408","Márta Pardavi and Andreas Lederer from the Hungarian Helsinki Committee","márta pardavi and andreas lederer from the hungarian helsinki committee",""
"4409"," 496227428572-68","496227428572 68",""
"4410","Gabor Ivanyi","gabor ivanyi",""
"4411"," pastor","pastor",""
"4412","Miklos Ligeti from Transparency International Hungary","miklos ligeti from transparency international hungary",""
"4413","Sandor Lederer from K-Monitor","sandor lederer from k monitor",""
"4414"," 745636122335-90","745636122335 90",""
"4415","Citizens' Convention on Climate","citizens convention on climate",""
"4416","Better Europe","better europe",""
"4417"," 113286326329-37","113286326329 37",""
"4418","Hartmut Bäumer from Transparency International Germany","hartmut bäumer from transparency international germany",""
"4419","Dutch Produce Association (DPA)","dutch produce association dpa",""
"4420","Paul Maassen from Open Government Partnership","paul maassen from open government partnership",""
"4421","Dutch Produce Association DPA","dutch produce association dpa",""
"4422","DXC. Technology","dxc technology",""
"4423","Claus Mayr from Naturschutzbund Deutschland e.V. (NABU)","claus mayr from naturschutzbund deutschland e v nabu",""
"4424"," 0285583802-96","0285583802 96",""
"4425","E.ON SE","e on se",""
"4426","Nick Aiossa from Transparency International (TI)","nick aiossa from transparency international ti",""
"4427"," 501222919-71","501222919 71",""
"4428","Sophia Russack","sophia russack",""
"4429"," Centre for European Policy Studies (CEPS)","centre for european policy studies ceps",""
"4430"," 206201438220-85","206201438220 85",""
"4431","Rosa Beckmann","rosa beckmann",""
"4432"," European Democracy Lab","european democracy lab",""
"4433"," Paul Kindermann","paul kindermann",""
"4434","Ioana Ardereanu","ioana ardereanu",""
"4435"," The Good Lobby","the good lobby",""
"4436"," 308319527120-86","308319527120 86",""
"4437","Joao Teixeira de Freitas","joao teixeira de freitas",""
"4438"," Society of European Affairs Professionals","society of european affairs professionals",""
"4439"," 360457536314-69","360457536314 69",""
"4440","Nicolai von Ondarza","nicolai von ondarza",""
"4441"," SWP","swp",""
"4442"," 662741612644-67","662741612644 67",""
"4443","Marco Schwarz","marco schwarz",""
"4444"," Friedrich Ebert Stiftung","friedrich ebert stiftung",""
"4445"," 05546466757-61","05546466757 61",""
"4446","Linn Selle","linn selle",""
"4447"," Europäische Bewegung Deutschland","europäische bewegung deutschland",""
"4448"," 028179432513-92","028179432513 92",""
"4449","Achim Wölfel","achim wölfel",""
"4450"," Mehr Demokratie e.V.","mehr demokratie e v",""
"4451"," 964799628086-26","964799628086 26",""
"4452","János Bertók","jános bertók",""
"4453"," OECD","oecd",""
"4454","Elena Foucraut","elena foucraut",""
"4455"," Transparency International France","transparency international france",""
"4456","Christine Verger","christine verger",""
"4457"," Jaques Delors Institute","jaques delors institute",""
"4458"," 726109217329-25","726109217329 25",""
"4459","Daniela Vancic","daniela vancic",""
"4460"," Democracy International","democracy international",""
"4461"," 014120028084-09","014120028084 09",""
"4462"," Democracy International e.V.","democracy international e v",""
"4463","Valentina Presa","valentina presa",""
"4464"," Young European Federalists","young european federalists",""
"4465"," 166968915217-20","166968915217 20",""
"4466","Maarten de Groot","maarten de groot",""
"4467"," Bertelsman Foundation","bertelsman foundation",""
"4468"," 433897123348-44","433897123348 44",""
"4469","Carlotta Besozzi","carlotta besozzi",""
"4470"," Civil Society Europe","civil society europe",""
"4471"," 520775919740-63","520775919740 63",""
"4472"," Helen Darbishire","helen darbishire",""
"4473"," Access Info Europe","access info europe",""
"4474"," 49931835063-67","49931835063 67",""
"4475"," Jörg Rohwedder","jörg rohwedder",""
"4476"," WeMove.EU","wemove eu",""
"4477"," Josipa Dika","josipa dika",""
"4478"," GONG","gong",""
"4479"," 180972127836-49","180972127836 49",""
"4480"," Margarida Silva","margarida silva",""
"4481"," CEO","ceo",""
"4482"," 5353162366-85","5353162366 85",""
"4483"," Nick Aiossa","nick aiossa",""
"4484"," Vitor Teixeira","vitor teixeira",""
"4485"," Transparency International","transparency international",""
"4486","Albert Willekens","albert willekens",""
"4487","Virginia Fiume  Projects Coordinator European Citizens Initiatives","virginia fiume projects coordinator european citizens initiatives",""
"4488"," EUmans","eumans",""
"4489","Maxime Quenin-Cahn","maxime quenin cahn",""
"4490"," AXA Group","axa group",""
"4491"," 75149096203-49","75149096203 49",""
"4492"," Gilles Moec","gilles moec",""
"4493","Linda Maria Ravo","linda maria ravo",""
"4494"," Civil Liberties Union for Europe","civil liberties union for europe",""
"4495"," 544892227334-39","544892227334 39",""
"4496"," Nóra Novoszádek","nóra novoszádek",""
"4497","The Hungarian Helsinki Committee","the hungarian helsinki committee",""
"4498"," 496227428572-68","496227428572 68",""
"4499"," Helen Darbishire","helen darbishire",""
"4500"," Georgiana Georghe","georgiana georghe",""
"4501"," Apador-CH","apador ch",""
"4502"," 462189636661-33","462189636661 33",""
"4503"," Vanja Skoric","vanja skoric",""
"4504"," European Centre for Not-for-Profit Law","european centre for not for profit law",""
"4505"," 090944731038-30","090944731038 30",""
"4506"," Otmar Lahodynsky","otmar lahodynsky",""
"4507","Association of European Journalists","association of european journalists",""
"4508"," 018214429231-64","018214429231 64",""
"4509"," Zsofia Banuta","zsofia banuta",""
"4510"," Unhackdemocracy","unhackdemocracy",""
"4511"," Jessica Machacova","jessica machacova",""
"4512"," Free Press Unlimited","free press unlimited",""
"4513"," 244060929225-74","244060929225 74",""
"4514"," Nicholas Aiossa","nicholas aiossa",""
"4515"," Veronika Mora","veronika mora",""
"4516"," Okotars Foundation","okotars foundation",""
"4517"," Tom (Gibson)","tom gibson",""
"4518"," Committee to Protect Journalists","committee to protect journalists",""
"4519"," 370649919011-72","370649919011 72",""
"4520"," Flutura Kusari","flutura kusari",""
"4521"," European Centre for Press and Media Freedom","european centre for press and media freedom",""
"4522","823710129179-63","823710129179 63",""
"4523"," Atanas Slavov","atanas slavov",""
"4524"," Anti-Corruption Fund","anti corruption fund",""
"4525"," Emilia Zakrzewska","emilia zakrzewska",""
"4526"," Agora International Human Rights Group","agora international human rights group",""
"4527","Nina Katzemich","nina katzemich",""
"4528"," Lobby Control","lobby control",""
"4529"," 6314918394-16","6314918394 16",""
"4530"," Dr. Joachim Lang","dr joachim lang",""
"4531"," BDI e.V. 1771817758-48","bdi e v 1771817758 48",""
"4532","Silvia Warth","silvia warth",""
"4533"," Schwarz Gruppe","schwarz gruppe",""
"4534"," 820634629289-26","820634629289 26",""
"4535"," Mark Friedrich","mark friedrich",""
"4536"," Metro","metro",""
"4537"," 479994110538-77","479994110538 77",""
"4538"," Carolina Müller","carolina müller",""
"4539"," Markant","markant",""
"4540"," Sabine Schnabel","sabine schnabel",""
"4541"," Spar","spar",""
"4542"," 017784530272-96","017784530272 96",""
"4543"," Fabian Fechner","fabian fechner",""
"4544"," Handelsverband Deutschland (HDE)","handelsverband deutschland hde",""
"4545"," 31200871765-41","31200871765 41",""
"4546","Dan Kelemen","dan kelemen",""
"4547"," Rutgers University","rutgers university",""
"4548"," Kim Lane Scheppele","kim lane scheppele",""
"4549"," Princeton University","princeton university",""
"4550","Vladimir Sestovic","vladimir sestovic",""
"4551"," European Civic Forum","european civic forum",""
"4552"," 981872117501-10","981872117501 10",""
"4553","Georg Hackmack","georg hackmack",""
"4554"," Change.org","change org",""
"4555"," 181580220120-88","181580220120 88",""
"4556"," Jörg Rohwedder","jörg rohwedder",""
"4557"," WeMove.EU","wemove eu",""
"4558"," Josipa Dika","josipa dika",""
"4559"," Margarida Silva","margarida silva",""
"4560"," Nick Aiossa","nick aiossa",""
"4561","Dr. Petra Bard","dr petra bard",""
"4562"," CEU Budapest","ceu budapest",""
"4563","Xavier Sol of Counter Balance 02902955023-04","xavier sol of counter balance 02902955023 04",""
"4564","Christel Schlebusch of Stop Tihange - citizen's initiative against the nuclear power plant Tihange","christel schlebusch of stop tihange citizen s initiative against the nuclear power plant tihange",""
"4565","Roger Casale of The New Europeans AISBL 533848228213-17","roger casale of the new europeans aisbl 533848228213 17",""
"4566","E3G Third Generation Environmentalism 07783117686-61","e3g third generation environmentalism 07783117686 61",""
"4567"," Food&Water Europe","food water europe",""
"4568"," Counter Balance","counter balance",""
"4569"," Friens of the Earth Europe","friens of the earth europe",""
"4570"," European Climate Foundation","european climate foundation",""
"4571","Helen Darbishire","helen darbishire",""
"4572"," Access Info Europe 49931835063-67","access info europe 49931835063 67",""
"4573"," Access Info Europe","access info europe",""
"4574"," ClientEarth 96645517357-19","clientearth 96645517357 19",""
"4575"," Open Society European Policy Institute (OSEPI) 8557515321-37","open society european policy institute osepi 8557515321 37",""
"4576"," News Media Europe (NME) 577812220311-81","news media europe nme 577812220311 81",""
"4577"," International Federation of Journalists 999725935832-94","international federation of journalists 999725935832 94",""
"4578"," Reporters sans frontières 612547127497-45","reporters sans frontières 612547127497 45",""
"4579"," Committee to Protect Journalists (CPJ) 370649919011-72","committee to protect journalists cpj 370649919011 72",""
"4580"," Corporate Europe Observatory (CEO) 5353162366-85","corporate europe observatory ceo 5353162366 85",""
"4581"," Amnesty International European Association 11063928073-34","amnesty international european association 11063928073 34",""
"4582"," Friends of the Earth Europe 9825553393-31","friends of the earth europe 9825553393 31",""
"4583"," Global Witness 10439809375-73","global witness 10439809375 73",""
"4584"," Whistleblowing International Network 433319333385-38","whistleblowing international network 433319333385 38",""
"4585"," Journalismfund.eu","journalismfund eu",""
"4586"," Repubblika","repubblika",""
"4587"," Elena Bojilova","elena bojilova",""
"4588"," Sylvia Atipova","sylvia atipova",""
"4589"," Chavdar Vlachkov","chavdar vlachkov",""
"4590"," Preslav Mitranov","preslav mitranov",""
"4591","EACH","each",""
"4592","EARSC - European Association of Remote Sensing Companies","earsc european association of remote sensing companies",""
"4593","Veronika Nad","veronika nad",""
"4594"," Organisation Blueprint for Free Speech","organisation blueprint for free speech",""
"4595"," Vice President of Delors Institute 726109217329-25","vice president of delors institute 726109217329 25",""
"4596","Julian Hitschler of Back-on-Track","julian hitschler of back on track",""
"4597","Marla Luther of European Democracy Lab","marla luther of european democracy lab",""
"4598","Carol Thomas of Conseil des Communes et Régions d'Europe (CCRE) 81142561702-61","carol thomas of conseil des communes et régions d europe ccre 81142561702 61",""
"4599","EASE","ease",""
"4600","Vitor Teixeira of Transparency International 501222919-71","vitor teixeira of transparency international 501222919 71",""
"4601","Fridays for Future Iserlohn","fridays for future iserlohn",""
"4602","Matteo Garavoglia of the Center for International Studies at the University of Oxford","matteo garavoglia of the center for international studies at the university of oxford",""
"4603","Chiara Rosselli of The German Marshall Fund of the United States - The Transatlantic Foundation  823171519707-31","chiara rosselli of the german marshall fund of the united states the transatlantic foundation 823171519707 31",""
"4604","Ulrike Guérot of European Democracy Lab","ulrike guérot of european democracy lab",""
"4605","Advocate Europe","advocate europe",""
"4606"," Sophie Pornschlegel of European Policy Centre 89632641000-47","sophie pornschlegel of european policy centre 89632641000 47",""
"4607"," Yonous Muhammadi of Greek Forum for Refugees","yonous muhammadi of greek forum for refugees",""
"4608"," Annegret Wulf of MitOst","annegret wulf of mitost",""
"4609","Andreas Wagner of Transparency International 501222919-71","andreas wagner of transparency international 501222919 71",""
"4610","Marion Jungbluth","marion jungbluth",""
"4611"," Isabelle Buschke","isabelle buschke",""
"4612"," Thomas Bobinger of Verbraucherzentrale Bundesverband 2893800753-48","thomas bobinger of verbraucherzentrale bundesverband 2893800753 48",""
"4613","Nicholas Aiossa of Transparency International 501222919-71","nicholas aiossa of transparency international 501222919 71",""
"4614","Donors and Foundations Network in Europe 060243428664-85","donors and foundations network in europe 060243428664 85",""
"4615"," Bundesverband Deutscher Stiftungen","bundesverband deutscher stiftungen",""
"4616","Young European Federalists 22158552884-38","young european federalists 22158552884 38",""
"4617","Corporate Europe Observatory (5353162366-85)","corporate europe observatory 5353162366 85",""
"4618"," Finance Watch 37943526882-24","finance watch 37943526882 24",""
"4619"," Change Finance Coalition","change finance coalition",""
"4620","Open Society European Policy Institute 8557515321-37","open society european policy institute 8557515321 37",""
"4621","Open Contracting Partnership 743117736368-80","open contracting partnership 743117736368 80",""
"4622","GLOBSEC 903680223573-18","globsec 903680223573 18",""
"4623"," Carnegie Europe 688089718929-60","carnegie europe 688089718929 60",""
"4624"," Bertelsmann-Stiftung 13571025706-27","bertelsmann stiftung 13571025706 27",""
"4625","Bertelsmann Stiftung 13571025706-27","bertelsmann stiftung 13571025706 27",""
"4626","Business Europe 3978240953-79","business europe 3978240953 79",""
"4627","Europe's Peoples' Forum 128670627678-46","europe s peoples forum 128670627678 46",""
"4628","The Democratic Society 413896028403-86","the democratic society 413896028403 86",""
"4629"," Open Government Network for Europe","open government network for europe",""
"4630"," French governance committee of the citizens convention on climate","french governance committee of the citizens convention on climate",""
"4631"," The Irish Citizens’ Assembly project","the irish citizens assembly project",""
"4632"," Danish Board of Technology","danish board of technology",""
"4633"," Gisela Erler","gisela erler",""
"4634"," Secretary of State from Baden-Württemberg","secretary of state from baden württemberg",""
"4635","Transport and Environment (European Federation for Transport and Environment) 58744833263-19","transport and environment european federation for transport and environment 58744833263 19",""
"4636","EurekaRail","eurekarail",""
"4637"," Office for International relations of FVG Region","office for international relations of fvg region",""
"4638"," Stadtverkehrsgesellschaft Frankfurt (Oder) Ltd","stadtverkehrsgesellschaft frankfurt oder ltd",""
"4639","APCO Worldwide 81995781088-41","apco worldwide 81995781088 41",""
"4640","American Chamber of Commerce to the European Union 5265780509-97","american chamber of commerce to the european union 5265780509 97",""
"4641","Ashley Fox (Ashley Fox Consulting Ltd)","ashley fox ashley fox consulting ltd",""
"4642","Transparency International 501222919-71","transparency international 501222919 71",""
"4643"," European Public Affairs Consultancies Association 8828523562-52","european public affairs consultancies association 8828523562 52",""
"4644","Dr. Anna-Maija Mertens","dr anna maija mertens",""
"4645"," Managing Director of Transparency International Germany","managing director of transparency international germany",""
"4646"," Transparency International 501222919-71","transparency international 501222919 71",""
"4647","Gianluca Esposito","gianluca esposito",""
"4648"," Secretary General of GRECO","secretary general of greco",""
"4649","Madeleine Kate McGowan and Esther Michelsen Kjeldahl","madeleine kate mcgowan and esther michelsen kjeldahl",""
"4650"," activists","activists",""
"4651","Christophe Leclerq of Fondation EURACTIV 485832526193-89","christophe leclerq of fondation euractiv 485832526193 89",""
"4652","Association for the European Citizens' Initiative e.V. (ECI e.V.) 299290727346-64","association for the european citizens initiative e v eci e v 299290727346 64",""
"4653"," Carsten Berg","carsten berg",""
"4654","Bill Browder","bill browder",""
"4655"," activist","activist",""
"4656","Angels Gimenez Bofarull of Transparency International EU 501222919-71","angels gimenez bofarull of transparency international eu 501222919 71",""
"4657","Vitor Teixeira of Transparency International EU 501222919-71","vitor teixeira of transparency international eu 501222919 71",""
"4658","Community of European Railway and Infrastructure Companies (CER) 7574621118-27","community of european railway and infrastructure companies cer 7574621118 27",""
"4659"," Libor Lochman and Ilja Lorenzo Volpi","libor lochman and ilja lorenzo volpi",""
"4660","Samantha Chaitkin","samantha chaitkin",""
"4661"," Open Government Partnership Secretariat (OGP) 681306927105-61","open government partnership secretariat ogp 681306927105 61",""
"4662"," Council of Europe Group of States Against Corruption (GRECO)","council of europe group of states against corruption greco",""
"4663","Alberto Alemanno","alberto alemanno",""
"4664","EASTGate Africa","eastgate africa",""
"4665"," Niesco Dubbelboer","niesco dubbelboer",""
"4666"," Democracy International e.V. 014120028084-09","democracy international e v 014120028084 09",""
"4667"," Meer Democratie Netherlands","meer democratie netherlands",""
"4668","The Good Lobby","the good lobby",""
"4669"," Vitor Teixeira","vitor teixeira",""
"4670"," Nina Katzemich","nina katzemich",""
"4671"," Rachel Owens","rachel owens",""
"4672"," Daniela Vancic","daniela vancic",""
"4673"," Myriam Douo","myriam douo",""
"4674"," Transparency International 501222919-71","transparency international 501222919 71",""
"4675"," Corporate Europe Observatory 5353162366-85","corporate europe observatory 5353162366 85",""
