"","full.name","regex"
"898","PETITA I MITJANA EMPRESA DE CATALUNYA (PIMEC)","petita i mitjana empresa de catalunya (pimec)"
"899","Volvo AB (Volvo Group)","volvo ab (volvo group)"
"900","Foundation for a Drug Free Europe (FDFE)","foundation for a drug free europe (fdfe)"
"901","Premium Pork International (PPI)","premium pork international (ppi)"
"902","Kamstrup A/S","kamstrup a/s"
"903","Moje Evropa","moje evropa"
"904","VedvarendeEnergi (VE)","vedvarendeenergi (ve)"
"905","Danish Fashion & Textile (DM&T)","danish fashion & textile (dm&t)"
"906","SYNERGI - organisation for effektiv energi (SYNERGI)","synergi - organisation for effektiv energi (synergi)"
"907","Managed Funds Association (MFA)","managed funds association (mfa)"
"908","United States Meat Export Federation (USMEF)","united states meat export federation (usmef)"
"909","Autodesk, Inc.","autodesk, inc."
"910","QVC, Inc.","qvc, inc."
"911","GELSENWASSER AG (GWAG)","gelsenwasser ag (gwag)"
"912","Zurich Insurance Company Ltd","zurich insurance company ltd"
"913","Fédération Française des Tuiles et Briques (FFTB)","fédération française des tuiles et briques (fftb)"
"914","Wirtschaftsrat der CDU e.V. (WR)","wirtschaftsrat der cdu e.v. (wr)"
"915","Bayerischer Jugendring (BJR)","bayerischer jugendring (bjr)"
"916","""NURSING UP"" IL SINDACATO DEGLI INFERMIERI ITALIANI (NURSING UP)","""nursing up"" il sindacato degli infermieri italiani (nursing up)"
"917","Dalmine S.p.A.","dalmine s.p.a."
"918","KLM Royal Dutch Airlines (KLM)","klm royal dutch airlines (klm)"
"919","TRIUMPH GROUP INTERNATIONAL (TGI)","triumph group international (tgi)"
"920","DNV GL","dnv gl"
"921","Intelligenta TransportSystem Sweden AB (ITS Sweden)","intelligenta transportsystem sweden ab (its sweden)"
"922","Ceská odborná školící spolecnost s.r.o. (COSS)","ceská odborná školící spolecnost s.r.o. (coss)"
"923","Institute for Agrostrategies and Innovations (IAI)","institute for agrostrategies and innovations (iai)"
"924","Centro de Comunicación Virginia Woolf (Cotidiano Mujer)","centro de comunicación virginia woolf (cotidiano mujer)"
"925","EUROPEAN CIVIL SOCIETY PLATFORM FOR MULTILINGUALISM (ECSPM)","european civil society platform for multilingualism (ecspm)"
"926","Danske Skønlitterære Forfattere (DSF)","danske skønlitterære forfattere (dsf)"
"927","PTC Therapeutics","ptc therapeutics"
"928","Bord na Móna plc (BnM)","bord na móna plc (bnm)"
"929","Supermac's Holding Limited","supermac's holding limited"
"930","MCM Klosterfrau Vertriebsgesellschaft mbH (Klosterfrau)","mcm klosterfrau vertriebsgesellschaft mbh (klosterfrau)"
"931","Deutscher Notarverein (DNotV)","deutscher notarverein (dnotv)"
"932","European Academy of Neurology (EAN)","european academy of neurology (ean)"
"933","FONDAZIONE CS MARE (CSMARE)","fondazione cs mare (csmare)"
"934","European Sustainable Use Group (ESUG)","european sustainable use group (esug)"
"935","European Tissue Symposium (ETS)","european tissue symposium (ets)"
"936","STARCH EUROPE","starch europe"
"937","Romanian Airports Association (RAA)","romanian airports association (raa)"
"938","Ceskomoravský odborový svaz pracovníku školství (CMOS PŠ)","ceskomoravský odborový svaz pracovníku školství (cmos pš)"
"939","Carbon Recycling International - CRI hf. (CRI)","carbon recycling international - cri hf. (cri)"
"940","Tanec Praha z.ú. (TP)","tanec praha z.ú. (tp)"
"941","Asetek","asetek"
"942","Foundation for Environmental Education (FEE)","foundation for environmental education (fee)"
"943","The South-East Europe Change Net Foundation (Fondacija Mreža za promjene Jugoistocne Evrope) (SEE Change Net)","the south-east europe change net foundation (fondacija mreža za promjene jugoistocne evrope) (see change net)"
"944","Chambre des Métiers du Grand-Duché du Luxembourg (CdM)","chambre des métiers du grand-duché du luxembourg (cdm)"
"945","Citywide Drugs Crisis Campaign","citywide drugs crisis campaign"
"946","OZ Bez bariéry - Národná platforma proti bariéram (BB - NPPB)","oz bez bariéry - národná platforma proti bariéram (bb - nppb)"
"947","Österreichische Notariatskammer (ÖNK)","österreichische notariatskammer (önk)"
"948","European Federation of Museum & Tourist Railways (FEDECRAIL)","european federation of museum & tourist railways (fedecrail)"
"949","AUTOSTRADE PER L'ITALIA (ASPI)","autostrade per l'italia (aspi)"
"950","Federazione Italiana dell'Industria Alimentare (Federalimentare)","federazione italiana dell'industria alimentare (federalimentare)"
"951","Human Rights Without Frontiers International (HRWF Int'l)","human rights without frontiers international (hrwf int'l)"
"952","European Steel Technology Platform (ESTEP)","european steel technology platform (estep)"
"953","Grakom","grakom"
"954","Danske Advokater (The Association of Danish Law Firms) (DAD)","danske advokater (the association of danish law firms) (dad)"
"955","Environmental association Za Zemiata (ZZ)","environmental association za zemiata (zz)"
"956","International Sport and Culture Association (ISCA)","international sport and culture association (isca)"
"957","Association of Global Custodians (AGC)","association of global custodians (agc)"
"958","GreenWay Infrastructure s.r.o. (GreenWay)","greenway infrastructure s.r.o. (greenway)"
"959","BBDSZ Pénzügyi Ágazat Szakszervezeti Szövetsége (BBDSZ)","bbdsz pénzügyi ágazat szakszervezeti szövetsége (bbdsz)"
"960","The Irish Natura And Hill Farmers Assocation (INHFA)","the irish natura and hill farmers assocation (inhfa)"
"961","Nagycsaládosok Országos Egyesülete (NOE)","nagycsaládosok országos egyesülete (noe)"
"962","Bundesarbeitskammer Österreich (BAK)","bundesarbeitskammer österreich (bak)"
"963","Verband Deutscher Verkehrsunternehmen (VDV)","verband deutscher verkehrsunternehmen (vdv)"
"964","Alliance VITA","alliance vita"
"965","Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners (MTK)","maa- ja metsätaloustuottajain keskusliitto – central union of agricultural producers and forest owners (mtk)"
"966","ZTE Corporation (ZTE)","zte corporation (zte)"
"967","JUUL Labs Ltd (JUUL)","juul labs ltd (juul)"
"968","Associazione Nazionale Produttori Armi e Munizioni Sportive e Civili (ANPAM)","associazione nazionale produttori armi e munizioni sportive e civili (anpam)"
"969","Fundación Finnovaregio (Finnova)","fundación finnovaregio (finnova)"
"970","European Energy Information Sharing and Analysis Centre (EE-ISAC)","european energy information sharing and analysis centre (ee-isac)"
"971","TESKALABS LTD, odštepný závod","teskalabs ltd, odštepný závod"
"972","<U+0419><U+0415><U+0428><U+0418><U+041B><U+0410><U+0419> – <U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0418><U+042F>","<U+0439><U+0435><U+0448><U+0438><U+043B><U+0430><U+0439> – <U+0431><U+044A><U+043B><U+0433><U+0430><U+0440><U+0438><U+044F>"
"973","Eesti Erametsaliit (EEML)","eesti erametsaliit (eeml)"
"974","cBrain","cbrain"
"975","Burza cenných papíru Praha (PSE)","burza cenných papíru praha (pse)"
"976","Cryos International - Denmark (Cryos)","cryos international - denmark (cryos)"
"977","Ana Liffey Drug Project (ALDP) (ALDP)","ana liffey drug project (aldp) (aldp)"
"978","LA POSTE","la poste"
"979","IFAW Internationaler Tierschutz-Fonds gGmbH (IFAW)","ifaw internationaler tierschutz-fonds ggmbh (ifaw)"
"980","T&L Sugars Limited (Tate & Lyle Sugars)","t&l sugars limited (tate & lyle sugars)"
"981","The European Institute for Innovation through Health Data (i~HD)","the european institute for innovation through health data (i~hd)"
"982","Statnett SF","statnett sf"
"983","Electrolux Home Products","electrolux home products"
"984","Associação São Lázaro Brasil (ASLB)","associação são lázaro brasil (aslb)"
"985","EBG Federation","ebg federation"
"986","Citizens' Alliance for North Korean Human Rights (NKHR)","citizens' alliance for north korean human rights (nkhr)"
"987","Malaysian Employers Federation (MEF)","malaysian employers federation (mef)"
"988","Magyar Növényvédelmi Szövetség/ Hungarian Crop Protection Association (NSZ/HuCPA)","magyar növényvédelmi szövetség/ hungarian crop protection association (nsz/hucpa)"
"989","Society for Human Resource Management (SHRM)","society for human resource management (shrm)"
"990","World Wide Web Foundation (WF)","world wide web foundation (wf)"
"991","Union of European Football Associations (UEFA)","union of european football associations (uefa)"
"992","Bertelsmann Stiftung","bertelsmann stiftung"
"993","Tetra Pak Group","tetra pak group"
"994","Goodyear Europe B.V","goodyear europe b.v"
"995","Enterprise Rent A Car UK, Ltd. (Enterprise)","enterprise rent a car uk, ltd. (enterprise)"
"996","ASOCIACIÓN NACIONAL DE COMERCIANTES DE EQUIPOS, RECAMBIOS, NEUMÁTICOS Y ACCESORIOS PARA LA AUTOMOCIÓN (ANCERA)","asociación nacional de comerciantes de equipos, recambios, neumáticos y accesorios para la automoción (ancera)"
"997","Signify","signify"
"998","European Forum for Manufacturing (EFM)","european forum for manufacturing (efm)"
"999","Mazda Motor Logistics Europe N.V. (MLE)","mazda motor logistics europe n.v. (mle)"
"1000","International Police Association Brabant Brussels asbl (IPA Brabant Brussels)","international police association brabant brussels asbl (ipa brabant brussels)"
"1001","Bulgarian Telecommunications Company (Vivacom)) (Vivacom)","bulgarian telecommunications company (vivacom)) (vivacom)"
"1002","Svaz moderní energetiky (SME CR)","svaz moderní energetiky (sme cr)"
"1003","<U+0421><U+044A><U+044E><U+0437> <U+041F><U+0440><U+043E><U+0438><U+0437><U+0432><U+0435><U+0434><U+0435><U+043D><U+043E> <U+0432> <U+0411><U+044A><U+043B><U+0433><U+0430><U+0440><U+0438><U+044F>","<U+0441><U+044A><U+044E><U+0437> <U+043F><U+0440><U+043E><U+0438><U+0437><U+0432><U+0435><U+0434><U+0435><U+043D><U+043E> <U+0432> <U+0431><U+044A><U+043B><U+0433><U+0430><U+0440><U+0438><U+044F>"
"1004","Nets A/S (Nets)","nets a/s (nets)"
"1005","U.S. Soybean Export Council (USSEC)","u.s. soybean export council (ussec)"
"1006","Sisvel International S.A. (Sisvel)","sisvel international s.a. (sisvel)"
"1007","International Consumer Product Health and Safety Organization (ICPHSO)","international consumer product health and safety organization (icphso)"
"1008","Intercontinental Distributors Ltd., (IDL)","intercontinental distributors ltd., (idl)"
"1009","Deutscher Verband für Wohnungswesen, Städtebau und Raumordnung e.V.","deutscher verband für wohnungswesen, städtebau und raumordnung e.v."
"1010","Federation of European Aquaculture Producers (FEAP)","federation of european aquaculture producers (feap)"
"1011","International Federation for Human Rights (FIDH)","international federation for human rights (fidh)"
"1012","Law Society of Scotland (LSS)","law society of scotland (lss)"
"1013","Polskie Gornictwo Naftowe i Gazownictwo SA  -  Polish Oil and Gas Company (PGNiG SA)","polskie gornictwo naftowe i gazownictwo sa  -  polish oil and gas company (pgnig sa)"
"1014","Buurtsuper.be, de UNIZO organisatie van zelfstandige supermarkten","buurtsuper.be, de unizo organisatie van zelfstandige supermarkten"
"1015","Agder Energi (AE)","agder energi (ae)"
"1016","ACP Local Government Platform (ACPLGP)","acp local government platform (acplgp)"
"1017","European Council of the Paint, Printing Ink and Artists' Colours Industry (CEPE)","european council of the paint, printing ink and artists' colours industry (cepe)"
"1018","The Danish Society for Nature Conservation (DN)","the danish society for nature conservation (dn)"
"1019","Viru Keemia Grupp AS","viru keemia grupp as"
"1020","Eurocamara de Comercio de la Republica Dominicana (Eurocamara)","eurocamara de comercio de la republica dominicana (eurocamara)"
"1021","Felelos Élelmiszergyártók Szövetsége (FÉSZ)","felelos élelmiszergyártók szövetsége (fész)"
"1022","Irish Fishermen's Organisation (IFO)","irish fishermen's organisation (ifo)"
"1023","ICCBBA (ICCBBA)","iccbba (iccbba)"
"1024","British Immigrants Living in Luxembourg (BRILL)","british immigrants living in luxembourg (brill)"
"1025","The Chemours Company (Chemours)","the chemours company (chemours)"
"1026","European Powder Metallurgy Association (EPMA)","european powder metallurgy association (epma)"
"1027","Merck","merck"
"1028","Henkel AG & Co. KGaA (Henkel)","henkel ag & co. kgaa (henkel)"
"1029","Davide Campari-Milano N.V. (DCM)","davide campari-milano n.v. (dcm)"
"1030","NAVANTIA sociedad anónima, sociedad mercantil estatal (NAVANTIA)","navantia sociedad anónima, sociedad mercantil estatal (navantia)"
"1031","European Conference of Transport Research Institutes (ECTRI)","european conference of transport research institutes (ectri)"
"1032","Bureau International du Béton Manufacturé (BIBM)","bureau international du béton manufacturé (bibm)"
"1033","Ceská národní skupina Mezinárodní federace hudebního prumyslu, z.s. (CNS IFPI)","ceská národní skupina mezinárodní federace hudebního prumyslu, z.s. (cns ifpi)"
"1034","The Association of Danish Travel Agents and Tour Operators (DRF)","the association of danish travel agents and tour operators (drf)"
"1035","Internet Society - Bulgaria (ISOC-Bulgaria)","internet society - bulgaria (isoc-bulgaria)"
"1036","Nykredit Realkredit A/S (Nykredit)","nykredit realkredit a/s (nykredit)"
"1037","Offentligt Ansattes Organisationer (OAO)","offentligt ansattes organisationer (oao)"
"1038","Magyar Helsinki Bizottság","magyar helsinki bizottság"
"1039","InoBat j.s.a.","inobat j.s.a."
"1040","Advanced Technology and Science Applications Centre (ATASAC)","advanced technology and science applications centre (atasac)"
"1041","International Council of Shopping Centers/Europe LLC (ICSC)","international council of shopping centers/europe llc (icsc)"
"1042","Stopfraud.eu (STOPFRAUD)","stopfraud.eu (stopfraud)"
"1043","Ipsen Pharma","ipsen pharma"
"1044","Polyelectrolyte Producers Group EEIG (PPG)","polyelectrolyte producers group eeig (ppg)"
"1045","Dods Group PLC","dods group plc"
"1046","Fastweb S.p.A.","fastweb s.p.a."
"1047","European Passenger Transport Operators (EPTO)","european passenger transport operators (epto)"
"1048","Ordem dos Farmacêuticos (OF)","ordem dos farmacêuticos (of)"
"1049","European Cockpit Association (ECA)","european cockpit association (eca)"
"1050","Abu Dhabi Investment Authority (ADIA)","abu dhabi investment authority (adia)"
"1051","Association of Czech Railway Industry (ACRI)","association of czech railway industry (acri)"
"1052","Ankenævnet for Forsikring","ankenævnet for forsikring"
"1053","The Alliance of Democracies Foundation (AoD)","the alliance of democracies foundation (aod)"
"1054","<U+0421><U+0414><U+0420><U+0423><U+0416><U+0415><U+041D><U+0418><U+0415> “<U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0421><U+041A><U+0410> <U+0410><U+0421><U+041E><U+0426><U+0418><U+0410><U+0426><U+0418><U+042F> <U+041D><U+0410> <U+041C><U+0423><U+0417><U+0418><U+041A><U+0410><U+041B><U+041D><U+0418><U+0422><U+0415> <U+041F><U+0420><U+041E><U+0414><U+0423><U+0426><U+0415><U+041D><U+0422><U+0418>” (<U+0411><U+0410><U+041C><U+041F>)","<U+0441><U+0434><U+0440><U+0443><U+0436><U+0435><U+043D><U+0438><U+0435> “<U+0431><U+044A><U+043B><U+0433><U+0430><U+0440><U+0441><U+043A><U+0430> <U+0430><U+0441><U+043E><U+0446><U+0438><U+0430><U+0446><U+0438><U+044F> <U+043D><U+0430> <U+043C><U+0443><U+0437><U+0438><U+043A><U+0430><U+043B><U+043D><U+0438><U+0442><U+0435> <U+043F><U+0440><U+043E><U+0434><U+0443><U+0446><U+0435><U+043D><U+0442><U+0438>” (<U+0431><U+0430><U+043C><U+043F>)"
"1055","European Business Association (EBA)","european business association (eba)"
"1056","Sedicii Innovations Limited (Sedicii)","sedicii innovations limited (sedicii)"
"1057","Iridium Communications Inc.","iridium communications inc."
"1058","The European Athlete as Student (EAS)","the european athlete as student (eas)"
"1059","Diakonie Katastrophenhilfe (DKH)","diakonie katastrophenhilfe (dkh)"
"1060","Österreichischer Rechtsanwaltskammertag (ÖRAK)","österreichischer rechtsanwaltskammertag (örak)"
"1061","Viel & Cie (Viel & Cie)","viel & cie (viel & cie)"
"1062","World Uyghur Congress (WUC)","world uyghur congress (wuc)"
"1063","UNIÓN GENERAL DE TRABAJADORES DE ESPAÑA (UGT)","unión general de trabajadores de españa (ugt)"
"1064","Confédération Européenne des Organisations Nationales de la Boulangerie et de la Pâtisserie (CEBP)","confédération européenne des organisations nationales de la boulangerie et de la pâtisserie (cebp)"
"1065","ASSOCIAZIONE LOGISTICA INTERMODALITà SOSTENIBILE (ALIS)","associazione logistica intermodalità sostenibile (alis)"
"1066","Eurostar International Ltd (EIL)","eurostar international ltd (eil)"
"1067","Extended Producer Responsibility Alliance (EXPRA)","extended producer responsibility alliance (expra)"
"1068","Copyright for Creativity (C4C)","copyright for creativity (c4c)"
"1069","Federation of European Securities Exchanges (FESE)","federation of european securities exchanges (fese)"
"1070","European Forum of Independent Professionals (EFIP)","european forum of independent professionals (efip)"
"1071","Finansforbundet (FSU-DK)","finansforbundet (fsu-dk)"
"1072","Ceský svaz zpracovatelu masa / Czech Meat Processors Association (CSZM)","ceský svaz zpracovatelu masa / czech meat processors association (cszm)"
"1073","Eesti Kaubandus-Tööstuskoda (EKTK)","eesti kaubandus-tööstuskoda (ektk)"
"1074","Zemedelský svaz CR (ZS CR)","zemedelský svaz cr (zs cr)"
"1075","Plaid","plaid"
"1076","World Justice Project (WJP)","world justice project (wjp)"
"1077","Egészségügyi Technológia és Orvostechnikai Szállítók Egyesülete (ETOSZ)","egészségügyi technológia és orvostechnikai szállítók egyesülete (etosz)"
"1078","SC Johnson (SCJ)","sc johnson (scj)"
"1079","The Adecco Group","the adecco group"
"1080","Bundesingenieurkammer e.V. (BIngK)","bundesingenieurkammer e.v. (bingk)"
"1081","VERBUND AG (VERBUND)","verbund ag (verbund)"
"1082","Federazione Imprese Siderurgiche Italiane (FEDERACCIAI)","federazione imprese siderurgiche italiane (federacciai)"
"1083","Legambiente Onlus (Legambiente)","legambiente onlus (legambiente)"
"1084","Centrica plc","centrica plc"
"1085","Pensioenfederatie (Federation of the Dutch Pension Funds) (PF)","pensioenfederatie (federation of the dutch pension funds) (pf)"
"1086","OLX Global BV","olx global bv"
"1087","Human Rights House Foundation (HRHF)","human rights house foundation (hrhf)"
"1088","AnimalhealthEurope","animalhealtheurope"
"1089","UIP - International Union of Wagon Keepers (UIP Rail)","uip - international union of wagon keepers (uip rail)"
"1090","European Cosmetics Responsible Person Association (ERPA)","european cosmetics responsible person association (erpa)"
"1091","For Our Children Foundation (FOC)","for our children foundation (foc)"
"1092","Czech Society for Cybernetics and Informatics (CSKI)","czech society for cybernetics and informatics (cski)"
"1093","Medicines for Ireland","medicines for ireland"
"1094","Slovak Hydrogen Association (NVAS)","slovak hydrogen association (nvas)"
"1095","Széchenyi Hitelszövetség (Hitelszövetség)","széchenyi hitelszövetség (hitelszövetség)"
"1096","Irish Offshore Operators' Association (IOOA)","irish offshore operators' association (iooa)"
"1097","Microfinance Opportunities (MFO)","microfinance opportunities (mfo)"
"1098","Caribbean ASEAN Voluntary Council for Sustainable Development Goals (CAC)","caribbean asean voluntary council for sustainable development goals (cac)"
"1099","Xperi Holding Corporation (Xperi)","xperi holding corporation (xperi)"
"1100","Union des Industries et Métiers de la Métallurgie (UIMM)","union des industries et métiers de la métallurgie (uimm)"
"1101","Aspen Pharmacare (ASP)","aspen pharmacare (asp)"
"1102","Associazione Italiana Lattiero Casearia (ASSOLATTE)","associazione italiana lattiero casearia (assolatte)"
"1103","Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa (CNA)","confederazione nazionale dell'artigianato e della piccola e media impresa (cna)"
"1104","HERE Technologies","here technologies"
"1105","Equinor ASA (EQNR)","equinor asa (eqnr)"
"1106","European Network of Social Integration Enterprises (ENSIE)","european network of social integration enterprises (ensie)"
"1107","IBON International Foundation, Inc.","ibon international foundation, inc."
"1108","GIFT WOMEN LINK FOUNDATION (GWLF)","gift women link foundation (gwlf)"
"1109","APPLiA Bulgaria","applia bulgaria"
"1110","CITES ET GOUVERNEMENTS LOCAUX UNIS D'AFRIQUE (CGLU AFRIQUE)","cites et gouvernements locaux unis d'afrique (cglu afrique)"
"1111","CanCare4Living (CC4L)","cancare4living (cc4l)"
"1112","Envien group (Envien)","envien group (envien)"
"1113","Gyor-Moson-Sopron Megyei Kereskedelmi és Iparkamara (GYMSM KIK)","gyor-moson-sopron megyei kereskedelmi és iparkamara (gymsm kik)"
"1114","FundRock Management Company SA (FundRock)","fundrock management company sa (fundrock)"
"1115","Anatomic Pathology Patient Interest Association (APPIA)","anatomic pathology patient interest association (appia)"
"1116","Hapag-Lloyd AG (HLAG)","hapag-lloyd ag (hlag)"
"1117","Lufthansa Group (LHG)","lufthansa group (lhg)"
"1118","Nickel Institute (NI)","nickel institute (ni)"
"1119","European Climate Foundation (ECF)","european climate foundation (ecf)"
"1120","Chemical Business Association (CBA)","chemical business association (cba)"
"1121","Barilla Center for Food & Nutrition Foundation (BCFN Foundation)","barilla center for food & nutrition foundation (bcfn foundation)"
"1122","Caterpillar Distribution Services Europe bvba","caterpillar distribution services europe bvba"
"1123","Association européenne des Fonds de Garantie Voyages (EGFATT)","association européenne des fonds de garantie voyages (egfatt)"
"1124","European Chamber of Commerce in Cambodia (EuroCham Cambodia)","european chamber of commerce in cambodia (eurocham cambodia)"
"1125","ROCKWOOL International A/S (ROCKWOOL Group)","rockwool international a/s (rockwool group)"
"1126","Asia Securities Industry & Financial Markets Association (ASIFMA)","asia securities industry & financial markets association (asifma)"
"1127","STEM Ústav empirických výzkumu, z.ú. (STEM)","stem ústav empirických výzkumu, z.ú. (stem)"
"1128","Tandem Travel OOD","tandem travel ood"
"1129","Thorn","thorn"
"1130","High Nature Value Services Limited (HNVS Ltd)","high nature value services limited (hnvs ltd)"
"1131","Gevo, Inc. (Gevo)","gevo, inc. (gevo)"
"1132","Hungarian Coeliac Society (HCS)","hungarian coeliac society (hcs)"
"1133","CEVA Santé Animale","ceva santé animale"
"1134","Neste Oyj","neste oyj"
"1135","Verband deutscher Pfandbriefbanken e.V. (vdp)","verband deutscher pfandbriefbanken e.v. (vdp)"
"1136","League for Pastoral People and Endogenous Livestock Development (LPP)","league for pastoral people and endogenous livestock development (lpp)"
"1137","Federacion de Aridos - FdA (FdA)","federacion de aridos - fda (fda)"
"1138","European Central Council of Homeopaths (ECCH)","european central council of homeopaths (ecch)"
"1139","Associazione Medici per l’Ambiente – ISDE Italia Onlus (ISDE ITALIA)","associazione medici per l’ambiente – isde italia onlus (isde italia)"
"1140","Visa Europe (Visa Europe)","visa europe (visa europe)"
"1141","Bellona Europa","bellona europa"
"1142","European Bureau for Conscientious Objection (EBCO)","european bureau for conscientious objection (ebco)"
"1143","Cooperatives Europe","cooperatives europe"
"1144","Affalds- og Ressourceindustrien (ARI)","affalds- og ressourceindustrien (ari)"
"1145","INTENS Corporation s.r.o.","intens corporation s.r.o."
"1146","Swedbank AS","swedbank as"
"1147","Luminor Bank AS (none)","luminor bank as (none)"
"1148","Global Social Economy Forum (GSEF)","global social economy forum (gsef)"
"1149","Virgin Hyperloop (VH)","virgin hyperloop (vh)"
"1150","Irish Creamery Milk Suppliers Association (ICMSA)","irish creamery milk suppliers association (icmsa)"
"1151","Sozialkassen der deutschen Bauwirtschaft (SOKA-BAU)","sozialkassen der deutschen bauwirtschaft (soka-bau)"
"1152","European Audiovisual Production Association (CEPI)","european audiovisual production association (cepi)"
"1153","Nordzucker AG","nordzucker ag"
"1154","Tarkett","tarkett"
"1155","The Organisation for Professionals in Regulatory Affairs (TOPRA)","the organisation for professionals in regulatory affairs (topra)"
"1156","IFPI Representing recording industry worldwide (I.F.P.I.)","ifpi representing recording industry worldwide (i.f.p.i.)"
"1157","RAI-Radiotelevisione italiana S.p.A. (RAI)","rai-radiotelevisione italiana s.p.a. (rai)"
"1158","Fiat Chrysler Automobiles (FCA)","fiat chrysler automobiles (fca)"
"1159","Land- en Tuinbouw Organisatie Nederland (LTO Nederland)","land- en tuinbouw organisatie nederland (lto nederland)"
"1160","Business & Strategy in Europe (B&S Europe)","business & strategy in europe (b&s europe)"
"1161","Association du Réseau Européen des Registres Testamentaires / European Network of Registers of Wills Association (ARERT/ENRWA)","association du réseau européen des registres testamentaires / european network of registers of wills association (arert/enrwa)"
"1162","TomatoEurope Processors Association (TomatoEurope)","tomatoeurope processors association (tomatoeurope)"
"1163","Forum for Mobility & Society (FMS)","forum for mobility & society (fms)"
"1164","Svaz ceských knihkupcu a nakladatelu, zapsaný spolek (SCKN)","svaz ceských knihkupcu a nakladatelu, zapsaný spolek (sckn)"
"1165","International Network for Sustainable Energy - Europe (INFORSE-Europe)","international network for sustainable energy - europe (inforse-europe)"
"1166","<U+041F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+043D><U+0430> <U+0430><U+0441><U+043E><U+0446><U+0438><U+0430><U+0446><U+0438><U+044F> <U+043F><U+043E> <U+0440><U+043E><U+0431><U+043E><U+0442><U+0438><U+043A><U+0430> <U+0438> <U+0430><U+0432><U+0442><U+043E><U+043C><U+0430><U+0442><U+0438><U+0437><U+0430><U+0446><U+0438><U+044F> (PARA)","<U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+043D><U+0430> <U+0430><U+0441><U+043E><U+0446><U+0438><U+0430><U+0446><U+0438><U+044F> <U+043F><U+043E> <U+0440><U+043E><U+0431><U+043E><U+0442><U+0438><U+043A><U+0430> <U+0438> <U+0430><U+0432><U+0442><U+043E><U+043C><U+0430><U+0442><U+0438><U+0437><U+0430><U+0446><U+0438><U+044F> (para)"
"1167","Evropské hodnoty z.s. (Evropské hodnoty)","evropské hodnoty z.s. (evropské hodnoty)"
"1168","DANSKE TEGL","danske tegl"
"1169","Responsible Business Alliance (RBA)","responsible business alliance (rba)"
"1170","The Rediscovery Centre (RDC)","the rediscovery centre (rdc)"
"1171","Irish Tax Institute (ITI)","irish tax institute (iti)"
"1172","Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V. (BAGFW)","bundesarbeitsgemeinschaft der freien wohlfahrtspflege e.v. (bagfw)"
"1173","France Télévisions","france télévisions"
"1174","European Candle Association (ECA)","european candle association (eca)"
"1175","United Internet AG","united internet ag"
"1176","SAFRAN","safran"
"1177","Koninklijke Philips (Philips)","koninklijke philips (philips)"
"1178","Flower Auctions International (Vereniging van Bloemenveilingen) (FAI)","flower auctions international (vereniging van bloemenveilingen) (fai)"
"1179","Fiskesekretariatet (FishSec)","fiskesekretariatet (fishsec)"
"1180","European Confederation of Directors' Associations (ecoDa)","european confederation of directors' associations (ecoda)"
"1181","BXL Europe asbl (BXL Europe)","bxl europe asbl (bxl europe)"
"1182","The European Federation of Corrugated Board Manufacturers (FEFCO)","the european federation of corrugated board manufacturers (fefco)"
"1183","European League for Economic Cooperation (ELEC)","european league for economic cooperation (elec)"
"1184","Danish 92 Group - Forum for Sustainable Development","danish 92 group - forum for sustainable development"
"1185","COGEN Czech, Association for Combined Heat and Power Generation of the Czech Republic (COGEN Czech)","cogen czech, association for combined heat and power generation of the czech republic (cogen czech)"
"1186","Ohaha Family Foundation (Ohaha)","ohaha family foundation (ohaha)"
"1187","Smíšená cesko cínská komora vzájemné spolupráce (SCCKVS)","smíšená cesko cínská komora vzájemné spolupráce (scckvs)"
"1188","Youth and Environment Europe (YEE)","youth and environment europe (yee)"
"1189","Estonian Gas Association","estonian gas association"
"1190","Environmental Pillar","environmental pillar"
"1191","Celanese International Holdings Luxembourg S.a.r.l.","celanese international holdings luxembourg s.a.r.l."
"1192","Pitney Bowes Incorporated (PBI)","pitney bowes incorporated (pbi)"
"1193","CDP Worldwide (Europe) gGmbH (CDP Europe)","cdp worldwide (europe) ggmbh (cdp europe)"
"1194","MAN Truck & Bus SE (MAN)","man truck & bus se (man)"
"1195","Climate-KIC Holding BV (Climate-KIC)","climate-kic holding bv (climate-kic)"
"1196","Polish Spirits Industry (ZP PPS)","polish spirits industry (zp pps)"
"1197","European Public Health Association (EUPHA)","european public health association (eupha)"
"1198","Society for Worldwide Interbank Financial Telecommunication (SWIFT)","society for worldwide interbank financial telecommunication (swift)"
"1199","SME4SPACE VZW (SME4SPACE)","sme4space vzw (sme4space)"
"1200","Sveriges Akademikers Centralorganisation (Saco)","sveriges akademikers centralorganisation (saco)"
"1201","Association for District Heating of the Czech Republic (ADH CR)","association for district heating of the czech republic (adh cr)"
"1202","International Consortium of Research Staff Associations (ICoRSA)","international consortium of research staff associations (icorsa)"
